feature,train_mean,test_mean,train_median,test_median,ks_statistic,ks_pvalue
frac_maker,0.3656665850733183,0.21659063732010422,0.3298582995951417,0.03333333333333333,0.34322851668368437,4.857331966023602e-133
total_volume,84231.24660640702,41572.55770861071,8879.8593105,1850.7433079999992,0.3238455711341376,4.078589330989039e-118
frac_late_entry,0.2815151397778374,0.2159583584159819,0.2486917371546648,0.09389671361502347,0.31575125427019124,3.6207207149105475e-112
frac_early_entry,0.4718215316925862,0.6067843478582916,0.45438224253305043,0.6941176470588235,0.31404734357864084,6.1636521474764134e-111
category_hhi,0.5148296326916098,0.6897773709036888,0.44810505472939677,0.6872222222222222,0.2980753511483821,9.445090269894198e-100
frac_longshot,0.2210716303126617,0.36692167320269214,0.19298245614035087,0.2222222222222222,0.27934809070453426,1.9234742658984162e-87
avg_price,0.4881259317555141,0.3907601136905079,0.4906290875774864,0.44585444931374574,0.2612781895649762,2.2314094584126424e-76
counterparty_hhi,0.06462255089707754,0.055692035667410884,0.048711242557690757,0.03517422748191978,0.21310662123876511,1.0733489478033615e-50
past_clv_vw,0.003831281260274236,-0.0028968801868461866,-0.004891181891043847,-0.0009331414757048638,0.19623355543054874,5.486651902040517e-43
n_trades,412.559375,408.05032207641597,92.5,74.0,0.17302217072256043,1.868418697758399e-33
