decile,unweighted_mean,volume_weighted_mean,n
1,-0.028819978113090002,-0.0859713152913501,125.0
2,-0.03503798959592176,-0.003974609149016667,124.0
3,-0.030131085545226827,-0.015783471478633855,124.0
4,-0.0226896545829007,-0.005752918758035037,124.0
5,-0.01985390210574689,0.045527775321745165,124.0
6,-0.006741250018855301,-0.006503298369821837,124.0
7,-0.0023638712918858744,-0.04590684033071065,124.0
8,-0.01337597492493512,0.009695101879611236,124.0
9,-0.011144665093396608,0.012711054449810792,124.0
10,-0.03857515459436569,0.030469915024135895,124.0
