transition,category,n,rho,p_value
H2-2023->H1-2024,Crypto,279,0.05357557272154627,0.37265492796296457
H2-2023->H1-2024,Culture,151,-0.09943882886023003,0.2244484474144173
H2-2023->H1-2024,Finance,123,-0.009647753801705124,0.9156547755963176
H2-2023->H1-2024,Politics,670,0.0020493324413333276,0.9577744073930454
H2-2023->H1-2024,Sports,136,0.04654835170077763,0.5904916902431726
H2-2023->H1-2024,Tech,110,-0.08844758019069947,0.35817322974926935
H2-2023->H1-2024,Weather,50,-0.07611044417767106,0.5993517372477797
H2-2023->H1-2024,ALL_POOLED,1519,0.002900638109980871,0.9100641239151087
H1-2024->H2-2024,Crypto,1843,0.02140801688387098,0.35834059313450667
H1-2024->H2-2024,Culture,344,0.10794807017130122,0.045424640423613695
H1-2024->H2-2024,Finance,433,-0.027662481715227002,0.5659238887396227
H1-2024->H2-2024,Politics,7360,-0.05035342162774221,1.5472627963257603e-05
H1-2024->H2-2024,Sports,1633,0.013889193339546189,0.5748895331167793
H1-2024->H2-2024,Tech,265,0.04587884806355512,0.45704910090756357
H1-2024->H2-2024,Weather,77,-0.09947946790052051,0.3893543753294221
H1-2024->H2-2024,ALL_POOLED,11956,-0.0197897400522986,0.030474712280538867
H2-2024->H1-2025,Crypto,20348,0.020048306955660348,0.004237333807254115
H2-2024->H1-2025,Culture,4828,-0.014781027961361838,0.30449943500024185
H2-2024->H1-2025,Finance,2923,0.1472086391081988,1.254218186328804e-15
H2-2024->H1-2025,Politics,52088,0.006144278423258108,0.1608329370479097
H2-2024->H1-2025,Sports,82618,-0.015586845131433772,7.450839370645879e-06
H2-2024->H1-2025,Tech,3115,0.013146764316283276,0.46326155000018043
H2-2024->H1-2025,Weather,478,0.15700667942171528,0.0005709065484744228
H2-2024->H1-2025,ALL_POOLED,166411,0.0024176102178784134,0.32402420383181346
