decile,mean_fwd_clv,median_fwd_clv,std_fwd_clv,n
1,-0.008067026211790411,-0.0036981990269264416,0.09637312939537772,7933
2,-0.001732391575532388,-0.002373454036282482,0.07005572004572928,7933
3,-0.0034307143733291086,-0.0017431358970177908,0.04916122120603309,7933
4,-0.004046975554100119,-0.001325113212288152,0.0450848600178256,7933
5,-0.005364788195462268,-0.0020417231024113247,0.03962629665322588,7933
6,-0.0031857679837885336,-0.0010786665880156837,0.04702900916553223,7932
7,-0.0024840562984279084,-0.001414832346528633,0.04620970126543029,7933
8,-0.00108171479017312,-0.0011636746780709494,0.06087172654910984,7933
9,0.001063008853691752,-0.0005930086965042321,0.07362769153861214,7933
10,0.02559101759673794,0.007865483590312423,0.10199745186160979,7933
